productName,HS92_code,countryTrade,worldTrade,valueRCA,sector,countryTrade_M,worldTrade_M,worldTrade_B,code,year,valuePCI
"Medical, dental or veterinary furniture",9402 HS92,$22.9M,$849M,1.79,Textiles,22.9,849,0.849,9402,1998,1.7342396
Other furniture and parts,9403 HS92,$344M,$30.3B,0.77,Textiles,344,30300,30.3,9403,1998,-0.22552352
Mattresses and bedding,9404 HS92,$59.5M,$2.90B,1.36,Textiles,59.5,2900,2.9,9404,1998,-0.42943603
Lamps,9405 HS92,$69.8M,$11.6B,0.42,Textiles,69.8,11600,11.6,9405,1998,0.36703268
Prefabricated buildings,9406 HS92,$6.85M,$2.82B,0.158,Textiles,6.85,2820,2.82,9406,1998,0.46105164
Toys,9503 HS92,$238M,$16.2B,1.04,Machinery,238,16200,16.2,9503,1998,-0.922177
Games,9504 HS92,$9.39M,$10.4B,0.0616,Machinery,9.39,10400,10.4,9504,1998,0.5176135000000001
Christmas and other festivity articles,9505 HS92,$4.18M,$3.03B,0.0991,Machinery,4.18,3030,3.03,9505,1998,-1.4026645
Sports equipment,9506 HS92,$46.0M,$9.28B,0.38,Machinery,46,9280,9.28,9506,1998,-0.3884247
Fishing and hunting equipment,9507 HS92,$1.34M,$1.47B,0.0644,Machinery,1.34,1470,1.47,9507,1998,-0.67286366
Brooms and mops,9603 HS92,$40.9M,$2.24B,1.26,Machinery,40.9,2240,2.24,9603,1998,-0.6254981
Buttons,9606 HS92,$4.50M,$1.16B,0.318,Machinery,4.5,1160,1.16,9606,1998,-0.9949481
Slide fasteners,9607 HS92,$23.3M,$1.17B,1.77,Machinery,23.3,1170,1.17,9607,1998,-0.39251584
Pens,9608 HS92,$81.9M,$3.34B,1.74,Machinery,81.9,3340,3.34,9608,1998,0.41113073
"Pencils, crayons, pastels, etc.",9609 HS92,$7.15M,$611M,0.848,Machinery,7.15,611,0.611,9609,1998,-0.64242
Typewriter ribbons and ink pads,9612 HS92,$4.66M,$1.40B,0.221,Machinery,4.66,1400,1.4,9612,1998,0.7371276999999999
Cigarette lighters,9613 HS92,$8.54M,$916M,0.643,Machinery,8.54,916,0.916,9613,1998,-0.75501746
Paintings and drawings,9701 HS92,$439M,$5.36B,5.41,Textiles,439,5360,5.36,9701,1998,0.11020225
Sculptures,9703 HS92,$65.5M,$648M,6.66,Textiles,65.5,648,0.648,9703,1998,-0.69339126
Antiques >100 years,9706 HS92,$184M,$1.93B,6.49,Textiles,184,1930,1.93,9706,1998,-0.9179299
Horses,0101 HS92,$3.24M,$1.57B,0.139,Agriculture,3.24,1570,1.57,0101,1999,-0.03926722
Bovine,0102 HS92,$253k,$4.14B,0.004,Agriculture,0.253,4140,4.14,0102,1999,-0.6471723
Swine,0103 HS92,$3.23k,$1.29B,0.0002,Agriculture,0.00323,1290,1.29,0103,1999,0.2730407
Sheep,0104 HS92,$102k,$640M,0.012,Agriculture,0.102,640,0.64,0104,1999,-1.2200899
Fowl,0105 HS92,$7.99k,$891M,0.0006,Agriculture,0.00799,891,0.891,0105,1999,0.060686972
Beef,0201 HS92,$1.00M,$8.64B,0.0076,Agriculture,1,8640,8.64,0201,1999,-0.040970787
Beef (frozen),0202 HS92,$71.9k,$5.16B,0.0009,Agriculture,0.0719,5160,5.16,0202,1999,-0.9072817
Pork,0203 HS92,$982k,$8.80B,0.0073,Agriculture,0.982,8800,8.8,0203,1999,0.7296866
Lamb,0204 HS92,$57.2k,$1.94B,0.0019,Agriculture,0.0572,1940,1.94,0204,1999,-0.905573
Edible offal,0206 HS92,$135k,$1.55B,0.0058,Agriculture,0.135,1550,1.55,0206,1999,-0.55634624
Poultry,0207 HS92,$901k,$7.53B,0.0079,Agriculture,0.901,7530,7.53,0207,1999,0.029938305
Other meat,0208 HS92,$142k,$530M,0.0183,Agriculture,0.142,530,0.53,0208,1999,-0.10987021
Preserved meat,0210 HS92,$13.0M,$1.68B,0.507,Agriculture,13,1680,1.68,0210,1999,0.60031223
Live Fish,0301 HS92,$31.6k,$1.12B,0.0022,Agriculture,0.0316,1120,1.12,0301,1999,-1.610108
"Fish, excluding fillets",0302 HS92,$166k,$6.28B,0.0018,Agriculture,0.166,6280,6.28,0302,1999,-1.5059686
"Frozen fish, excluding fillets",0303 HS92,$592k,$8.89B,0.0051,Agriculture,0.592,8890,8.89,0303,1999,-1.6509258
Fish fillets,0304 HS92,$721k,$6.76B,0.0078,Agriculture,0.721,6760,6.76,0304,1999,-1.3313943
Preserved fish,0305 HS92,$833k,$2.50B,0.0254,Agriculture,0.833,2500,2.5,0305,1999,-1.8056594
Crustaceans,0306 HS92,$566k,$11.4B,0.0034,Agriculture,0.566,11400,11.4,0306,1999,-1.989176
Molluscs,0307 HS92,$1.05M,$4.55B,0.0161,Agriculture,1.05,4550,4.55,0307,1999,-1.8966397
Milk,0401 HS92,$4.11M,$3.18B,0.0856,Agriculture,4.11,3180,3.18,0401,1999,0.49549735
"Milk, concentrated",0402 HS92,$33.5M,$6.78B,0.325,Agriculture,33.5,6780,6.78,0402,1999,-0.5344672
Fermented milk products,0403 HS92,$2.65M,$1.27B,0.137,Agriculture,2.65,1270,1.27,0403,1999,0.44733959999999995
Whey,0404 HS92,$5.97M,$1.04B,0.377,Agriculture,5.97,1040,1.04,0404,1999,0.9709832
Butter,0405 HS92,$553k,$2.84B,0.0127,Agriculture,0.553,2840,2.84,0405,1999,0.6492220999999999
Cheese,0406 HS92,$337M,$10.1B,2.18,Agriculture,337,10100,10.1,0406,1999,0.16445418
"Eggs, in shell",0407 HS92,$2.98k,$1.00B,0.0002,Agriculture,0.00298,1000,1,0407,1999,-0.63333005
Honey,0409 HS92,$1.19M,$421M,0.186,Agriculture,1.19,421,0.421,0409,1999,-1.1203214
"Animal guts, except fish",0504 HS92,$4.68M,$1.38B,0.223,Agriculture,4.68,1380,1.38,0504,1999,-0.93694305
Animal products n.e.c.,0511 HS92,$2.82M,$920M,0.209,Agriculture,2.82,920,0.92,0511,1999,-0.69168293
Flower bulbs,0601 HS92,$33.3k,$717M,0.0031,Agriculture,0.0333,717,0.717,0601,1999,-0.1504269
Other live plants,0602 HS92,$1.57M,$3.42B,0.0304,Agriculture,1.57,3420,3.42,0602,1999,-1.2420611
Cut flowers,0603 HS92,$131k,$3.77B,0.0023,Agriculture,0.131,3770,3.77,0603,1999,-1.6937256
Other parts of plants,0604 HS92,$130k,$703M,0.0121,Agriculture,0.13,703,0.703,0604,1999,-1.3932631
Potatoes,0701 HS92,$614k,$1.85B,0.0219,Agriculture,0.614,1850,1.85,0701,1999,-0.43031198
Tomatoes,0702 HS92,$44.7k,$2.98B,0.001,Agriculture,0.0447,2980,2.98,0702,1999,-0.97338295
"Onions, shallots, garlic",0703 HS92,$221k,$1.57B,0.0095,Agriculture,0.221,1570,1.57,0703,1999,-1.4461732
"Cabbages, cauliflowers, broccoli",0704 HS92,$26.1k,$910M,0.0019,Agriculture,0.0261,910,0.91,0704,1999,-0.99708486
Lettuce,0705 HS92,$115k,$955M,0.0079,Agriculture,0.115,955,0.955,0705,1999,-0.26721117
Carrots & turnips,0706 HS92,$38.2k,$610M,0.0043,Agriculture,0.0382,610,0.61,0706,1999,-0.49921748
Cucumbers,0707 HS92,$2.64k,$825M,0.0002,Agriculture,0.00264,825,0.825,0707,1999,-0.8066213
Legumes,0708 HS92,$82.4k,$470M,0.0119,Agriculture,0.0824,470,0.47,0708,1999,-2.1858025
Other vegetables,0709 HS92,$360k,$4.15B,0.0057,Agriculture,0.36,4150,4.15,0709,1999,-1.3952168
Frozen vegetables,0710 HS92,$2.01M,$2.53B,0.0531,Agriculture,2.01,2530,2.53,0710,1999,-1.0291433
"Vegetables, dried",0712 HS92,$5.51M,$1.07B,0.349,Agriculture,5.51,1070,1.07,0712,1999,-1.2011815
"Legumes, dried",0713 HS92,$899k,$2.44B,0.0248,Agriculture,0.899,2440,2.44,0713,1999,-1.52469
Tubers,0714 HS92,$29.2k,$630M,0.0031,Agriculture,0.0292,630,0.63,0714,1999,-2.0205278
Cashew nuts & coconuts,0801 HS92,$109k,$1.43B,0.0052,Agriculture,0.109,1430,1.43,0801,1999,-2.373915
Other nuts,0802 HS92,$1.40M,$3.03B,0.0309,Agriculture,1.4,3030,3.03,0802,1999,-1.3798447
Bananas and plantains,0803 HS92,$370k,$6.24B,0.004,Agriculture,0.37,6240,6.24,0803,1999,-2.034545
"Avocados, pineapples, mangos, etc.",0804 HS92,$460k,$1.83B,0.0166,Agriculture,0.46,1830,1.83,0804,1999,-1.8656538
Citrus fruit,0805 HS92,$136k,$4.81B,0.0019,Agriculture,0.136,4810,4.81,0805,1999,-1.1631839
Grapes,0806 HS92,$433k,$3.36B,0.0086,Agriculture,0.433,3360,3.36,0806,1999,-0.70722294
Melons and papayas,0807 HS92,$52.1k,$1.40B,0.0025,Agriculture,0.0521,1400,1.4,0807,1999,-1.6785666
Apples & pears,0808 HS92,$3.09M,$3.80B,0.0537,Agriculture,3.09,3800,3.8,0808,1999,-0.23044004
Peaches & cherries,0809 HS92,$116k,$1.79B,0.0044,Agriculture,0.116,1790,1.79,0809,1999,-0.59599864
Other fresh fruit,0810 HS92,$533k,$2.47B,0.0144,Agriculture,0.533,2470,2.47,0810,1999,-0.9618141
"Fruits and nuts, frozen",0811 HS92,$1.26M,$1.24B,0.0717,Agriculture,1.26,1240,1.24,0811,1999,-0.7250881
"Fruits, dried",0813 HS92,$370k,$643M,0.0381,Agriculture,0.37,643,0.643,0813,1999,-1.4204296
Coffee,0901 HS92,$31.3M,$10.6B,0.194,Agriculture,31.3,10600,10.6,0901,1999,-2.1994612
Tea,0902 HS92,$4.23M,$2.63B,0.106,Agriculture,4.23,2630,2.63,0902,1999,-1.7725114
Pepper,0904 HS92,$699k,$1.42B,0.0326,Agriculture,0.699,1420,1.42,0904,1999,-1.7804489
Spices,0910 HS92,$2.97M,$539M,0.375,Agriculture,2.97,539,0.539,0910,1999,-1.744087
Wheat and meslin,1001 HS92,$13.9M,$15.9B,0.0571,Agriculture,13.9,15900,15.9,1001,1999,-0.3312494
Barley,1003 HS92,$4.14M,$2.35B,0.115,Agriculture,4.14,2350,2.35,1003,1999,0.47964579999999996
Corn,1005 HS92,$5.55M,$8.84B,0.041,Agriculture,5.55,8840,8.84,1005,1999,-1.1598387
Rice,1006 HS92,$2.54M,$7.65B,0.0221,Agriculture,2.54,7650,7.65,1006,1999,-1.3314197
Grain sorghum,1007 HS92,$1.40M,$721M,0.128,Agriculture,1.4,721,0.721,1007,1999,-2.1397033
Wheat or meslin flour,1101 HS92,$193k,$1.60B,0.008,Agriculture,0.193,1600,1.6,1101,1999,-0.97758734
Cereal meals,1103 HS92,$2.76M,$451M,0.406,Agriculture,2.76,451,0.451,1103,1999,-0.781879
Worked cereal grains,1104 HS92,$1.53M,$400M,0.251,Agriculture,1.53,400,0.4,1104,1999,-0.5335981
Malt,1107 HS92,$906k,$1.26B,0.0468,Agriculture,0.906,1260,1.26,1107,1999,0.2780448
Starches,1108 HS92,$402k,$915M,0.0289,Agriculture,0.402,915,0.915,1108,1999,-0.15464987
Soya beans,1201 HS92,$390k,$7.53B,0.0034,Agriculture,0.39,7530,7.53,1201,1999,-0.92567164
Peanuts,1202 HS92,$336k,$820M,0.027,Agriculture,0.336,820,0.82,1202,1999,-1.5708573
Sunflower seeds,1206 HS92,$761k,$1.10B,0.0453,Agriculture,0.761,1100,1.1,1206,1999,-0.6126409
Other oil seeds,1207 HS92,$1.19M,$1.00B,0.0801,Agriculture,1.19,1000,1,1207,1999,-2.117768
Flours of oil seeds,1208 HS92,$135k,$247M,0.036,Agriculture,0.135,247,0.247,1208,1999,-1.2921193
Seeds used for sowing,1209 HS92,$5.74M,$2.52B,0.152,Agriculture,5.74,2520,2.52,1209,1999,-0.67813873
"Plants used in perfumery, pharmacy or insecticide",1211 HS92,$2.34M,$1.07B,0.154,Agriculture,2.34,1070,1.07,1211,1999,-1.915983
Seaweeds & edible vegetable products,1212 HS92,$276k,$600M,0.0317,Agriculture,0.276,600,0.6,1212,1999,-1.9328123
Forage products,1214 HS92,$1.36M,$750M,0.118,Agriculture,1.36,750,0.75,1214,1999,-0.4446957
Vegetable saps and extracts,1302 HS92,$73.5M,$2.11B,2.29,Agriculture,73.5,2110,2.11,1302,1999,-0.9999892
"Bovine, sheep and goat fats",1502 HS92,$54.5k,$792M,0.0045,Agriculture,0.0545,792,0.792,1502,1999,-0.550925
Fish oils,1504 HS92,$905k,$315M,0.211,Agriculture,0.905,315,0.315,1504,1999,-1.0590739
Soybean oil,1507 HS92,$8.89M,$3.50B,0.167,Agriculture,8.89,3500,3.5,1507,1999,-0.4263052
Olive oil,1509 HS92,$231k,$2.54B,0.0059,Agriculture,0.231,2540,2.54,1509,1999,-1.0369587
Palm oil,1511 HS92,$1.03M,$5.30B,0.0127,Agriculture,1.03,5300,5.3,1511,1999,-2.366987
Sunflower seed oil,1512 HS92,$25.1M,$2.29B,0.716,Agriculture,25.1,2290,2.29,1512,1999,-0.7368411
Coconut & palm kernel oil,1513 HS92,$243k,$1.71B,0.0094,Agriculture,0.243,1710,1.71,1513,1999,-2.0404794
"Rapeseed, colza or mustard oil,",1514 HS92,$1.30M,$1.64B,0.0518,Agriculture,1.3,1640,1.64,1514,1999,0.64144784
Other vegetable fats and oils,1515 HS92,$5.66M,$1.50B,0.25,Agriculture,5.66,1500,1.5,1515,1999,-1.0271325
"Vegetable fats, hydrogenated",1516 HS92,$392k,$1.59B,0.0163,Agriculture,0.392,1590,1.59,1516,1999,-0.60565305
Margarine,1517 HS92,$1.35M,$1.56B,0.057,Agriculture,1.35,1560,1.56,1517,1999,-0.36557734
"Animal or vegetable fats and oils, processed",1518 HS92,$3.72M,$371M,0.741,Agriculture,3.72,371,0.371,1518,1999,0.34284198
Stearic acid,1519 HS92,$3.03M,$2.10B,0.0945,Agriculture,3.03,2100,2.1,1519,1999,-0.06722313
Glycerol,1520 HS92,$250k,$400M,0.042,Agriculture,0.25,400,0.4,1520,1999,-1.3001692
Sausages,1601 HS92,$205k,$1.23B,0.011,Agriculture,0.205,1230,1.23,1601,1999,0.029573195
Other prepared or preserved meat,1602 HS92,$883k,$4.02B,0.0144,Agriculture,0.883,4020,4.02,1602,1999,-0.17159693
Prepared or preserved fish,1604 HS92,$2.77M,$5.79B,0.0323,Agriculture,2.77,5790,5.79,1604,1999,-1.6643554
Prepared aquatic invertibrates,1605 HS92,$253k,$3.49B,0.0051,Agriculture,0.253,3490,3.49,1605,1999,-1.3012142
Sugarcane & sucrose,1701 HS92,$3.34M,$9.14B,0.0248,Agriculture,3.34,9140,9.14,1701,1999,-1.6691996
Other sugars,1702 HS92,$2.56M,$1.80B,0.0931,Agriculture,2.56,1800,1.8,1702,1999,0.4050669
Confectionery sugar,1704 HS92,$74.4M,$3.78B,1.3,Agriculture,74.4,3780,3.78,1704,1999,-0.37107605
Cocoa beans,1801 HS92,$7.71M,$2.93B,0.173,Agriculture,7.71,2930,2.93,1801,1999,-2.9595768
Cocoa paste,1803 HS92,$1.57M,$581M,0.175,Agriculture,1.57,581,0.581,1803,1999,-1.8481072
Cocoa butter,1804 HS92,$1.84M,$1.54B,0.0782,Agriculture,1.84,1540,1.54,1804,1999,-1.4804426
Cocoa powder,1805 HS92,$1.06M,$417M,0.166,Agriculture,1.06,417,0.417,1805,1999,-1.0526646
Chocolates,1806 HS92,$282M,$6.98B,2.65,Agriculture,282,6980,6.98,1806,1999,0.553187
Malt extract,1901 HS92,$69.5M,$3.92B,1.16,Agriculture,69.5,3920,3.92,1901,1999,0.5395204
Pasta,1902 HS92,$37.8M,$2.53B,1,Agriculture,37.8,2530,2.53,1902,1999,-1.0706542
Cereal foods,1904 HS92,$31.4M,$1.68B,1.22,Agriculture,31.4,1680,1.68,1904,1999,-0.12188205
Bakery products,1905 HS92,$98.3M,$8.01B,0.807,Agriculture,98.3,8010,8.01,1905,1999,-0.18527205
Pickled fruits and vegetables,2001 HS92,$383k,$639M,0.0396,Agriculture,0.383,639,0.639,2001,1999,-0.9748986
"Tomatoes, prepared or preserved",2002 HS92,$5.69M,$1.81B,0.205,Agriculture,5.69,1810,1.81,2002,1999,-1.3702984
"Mushrooms, prepared or preserved",2003 HS92,$183k,$639M,0.019,Agriculture,0.183,639,0.639,2003,1999,-0.41396365
"Other vegetables, frozen",2004 HS92,$1.54M,$2.22B,0.0452,Agriculture,1.54,2220,2.22,2004,1999,0.49890829999999997
"Other vegetables, prepared or preserved",2005 HS92,$3.37M,$3.92B,0.0563,Agriculture,3.37,3920,3.92,2005,1999,-0.8439914
"Jams, jellies and marmalades",2007 HS92,$16.7M,$789M,1.42,Agriculture,16.7,789,0.789,2007,1999,-0.7729323
"Fruits and nuts, otherwise prepared",2008 HS92,$11.6M,$4.13B,0.184,Agriculture,11.6,4130,4.13,2008,1999,-1.0941695
Fruit juices,2009 HS92,$46.9M,$6.78B,0.454,Agriculture,46.9,6780,6.78,2009,1999,-0.85791594
Coffee extracts,2101 HS92,$68.3M,$1.99B,2.26,Agriculture,68.3,1990,1.99,2101,1999,-0.40775323
Yeasts,2102 HS92,$8.90M,$686M,0.873,Agriculture,8.9,686,0.686,2102,1999,-0.27297008
Sauces and seasonings,2103 HS92,$54.6M,$2.69B,1.4,Agriculture,54.6,2690,2.69,2103,1999,-0.17709218
Soups and broths,2104 HS92,$46.2M,$1.11B,2.76,Agriculture,46.2,1110,1.11,2104,1999,-0.8060938
Ice cream,2105 HS92,$8.43M,$1.35B,0.408,Agriculture,8.43,1350,1.35,2105,1999,0.04159679
Food preparations n.e.c.,2106 HS92,$247M,$9.08B,1.8,Agriculture,247,9080,9.08,2106,1999,-0.06756933
Waters,2201 HS92,$4.00M,$1.48B,0.18,Agriculture,4,1480,1.48,2201,1999,-0.10252665
"Waters, flavored or sweetened",2202 HS92,$65.6M,$3.66B,1.19,Agriculture,65.6,3660,3.66,2202,1999,-0.4015214
Beer,2203 HS92,$1.63M,$4.82B,0.0223,Agriculture,1.63,4820,4.82,2203,1999,-0.6185914
Wine,2204 HS92,$38.9M,$14.1B,0.181,Agriculture,38.9,14100,14.1,2204,1999,-0.12974097
Ethyl alcohol > 80%,2207 HS92,$1.55M,$954M,0.107,Agriculture,1.55,954,0.954,2207,1999,-1.2388445
Spirits < 80% alcohol,2208 HS92,$14.2M,$10.1B,0.0956,Agriculture,14.2,10100,10.1,2208,1999,-0.66628045
"Flours of fish, for animal feed",2301 HS92,$4.04M,$2.02B,0.141,Agriculture,4.04,2020,2.02,2301,1999,-1.5210868
Cereal residues,2302 HS92,$56.5k,$430M,0.0088,Agriculture,0.0565,430,0.43,2302,1999,-1.4033443
Starch residues,2303 HS92,$1.10M,$1.14B,0.0629,Agriculture,1.1,1140,1.14,2303,1999,0.124244735
Solid soybean residues,2304 HS92,$1.12M,$5.77B,0.0126,Agriculture,1.12,5770,5.77,2304,1999,-0.6467478
Solid vegetable oil and fat residues,2306 HS92,$1.98M,$1.11B,0.117,Agriculture,1.98,1110,1.11,2306,1999,-1.6133676
Animal feed,2309 HS92,$100M,$7.34B,0.9,Agriculture,100,7340,7.34,2309,1999,-0.44743335
Unmanufactured tobacco,2401 HS92,$49.0M,$6.33B,0.508,Agriculture,49,6330,6.33,2401,1999,-1.4965082
Cigars and cigarettes,2402 HS92,$142M,$13.3B,0.72,Agriculture,142,13300,13.3,2402,1999,-0.9528369
Other manufactured tobacco,2403 HS92,$95.5M,$2.05B,3.08,Agriculture,95.5,2050,2.05,2403,1999,-0.09676422
Salt,2501 HS92,$1.95M,$1.16B,0.112,Minerals,1.95,1160,1.16,2501,1999,-1.1675137
"Sulphur, crude",2503 HS92,$1.13M,$722M,0.103,Minerals,1.13,722,0.722,2503,1999,-0.9532721
Natural sands,2505 HS92,$2.36M,$783M,0.2,Minerals,2.36,783,0.783,2505,1999,-0.3600882
Kaolin,2507 HS92,$115k,$1.38B,0.0055,Minerals,0.115,1380,1.38,2507,1999,0.35746669999999997
Clays,2508 HS92,$391k,$896M,0.0291,Minerals,0.391,896,0.896,2508,1999,-0.22268936
Natural calcium phosphates,2510 HS92,$18.1k,$1.42B,0.0009,Minerals,0.0181,1420,1.42,2510,1999,-1.4884646
Marble,2515 HS92,$230k,$524M,0.0301,Minerals,0.23,524,0.524,2515,1999,-1.1265962
Granite,2516 HS92,$8.04M,$1.08B,0.503,Minerals,8.04,1080,1.08,2516,1999,-0.7538047
Gravel,2517 HS92,$1.91M,$1.15B,0.11,Minerals,1.91,1150,1.15,2517,1999,0.0627456
Natural magnesia,2519 HS92,$454k,$777M,0.0387,Minerals,0.454,777,0.777,2519,1999,-0.064975694
Gypsum,2520 HS92,$893k,$548M,0.107,Minerals,0.893,548,0.548,2520,1999,-1.0381887
Cements,2523 HS92,$22.6M,$4.86B,0.317,Minerals,22.6,4860,4.86,2523,1999,-1.0434457
Feldspar,2529 HS92,$607k,$475M,0.0845,Minerals,0.607,475,0.475,2529,1999,-1.0921289
Mineral substances n.e.c.,2530 HS92,$3.35M,$874M,0.252,Minerals,3.35,874,0.874,2530,1999,-0.9712475
Iron ores and concentrates,2601 HS92,$262k,$9.02B,0.0019,Minerals,0.262,9020,9.02,2601,1999,-0.7035959
Copper ore,2603 HS92,$2.04M,$4.56B,0.0291,Minerals,2.04,4560,4.56,2603,1999,-1.7798549
Nickel ore,2604 HS92,$1.74k,$229M,0.0007,Minerals,0.00174,229,0.229,2604,1999,-0.6183133
Cobalt ore,2605 HS92,$16.6k,$121M,0.0092,Minerals,0.0166,121,0.121,2605,1999,-2.117815
Lead ore,2607 HS92,$918k,$532M,0.113,Minerals,0.918,532,0.532,2607,1999,-0.7622354
Chromium ore,2610 HS92,$218k,$295M,0.0482,Minerals,0.218,295,0.295,2610,1999,-2.1137207
Uranium ore,2612 HS92,984,$333M,0.0002,Minerals,#N/A,333,0.333,2612,1999,-0.81206167
Molybdenum ore,2613 HS92,$101k,$504M,0.0131,Minerals,0.101,504,0.504,2613,1999,-0.441127
Titanium ore,2614 HS92,$161k,$758M,0.0139,Minerals,0.161,758,0.758,2614,1999,-0.76305276
Zirconium ore,2615 HS92,$69.6k,$509M,0.01,Minerals,0.0696,509,0.509,2615,1999,-2.253548
Precious metal ores,2616 HS92,$92.6k,$687M,0.0088,Minerals,0.0926,687,0.687,2616,1999,-1.117427
"Slag, ash and residues containing metals",2620 HS92,$11.1M,$1.48B,0.492,Minerals,11.1,1480,1.48,2620,1999,-0.40700066
Coal,2701 HS92,$14.8M,$17.2B,0.0563,Minerals,14.8,17200,17.2,2701,1999,-0.6201688
Peat,2703 HS92,$58.8k,$582M,0.0066,Minerals,0.0588,582,0.582,2703,1999,0.4147429
Coke,2704 HS92,$4.23M,$1.86B,0.151,Minerals,4.23,1860,1.86,2704,1999,0.001989509
Oils etc. from high temperature coal tar,2707 HS92,$336k,$2.70B,0.0083,Minerals,0.336,2700,2.7,2707,1999,-0.9110418
Pitch and pitch coke,2708 HS92,$1.05M,$378M,0.19,Minerals,1.05,378,0.378,2708,1999,0.31621763
"Petroleum oils, refined",2710 HS92,$236M,$124B,0.129,Minerals,236,124000,124,2710,1999,-1.1625142
Petroleum gases,2711 HS92,$20.4M,$56.5B,0.0264,Minerals,20.4,56500,56.5,2711,1999,-1.1569765
Petroleum jelly,2712 HS92,$694k,$1.27B,0.0387,Minerals,0.694,1270,1.27,2712,1999,-0.39329973
Petroleum coke,2713 HS92,$8.90M,$2.98B,0.198,Minerals,8.9,2980,2.98,2713,1999,-0.37816843
"Bitumen and asphalt, natural",2714 HS92,$10.9k,$411M,0.0017,Minerals,0.0109,411,0.411,2714,1999,-0.9582616
Bituminous mixtures,2715 HS92,$2.51M,$236M,0.731,Minerals,2.51,236,0.236,2715,1999,-0.13684098
Electrical energy,2716 HS92,$333M,$9.00B,2.48,Minerals,333,9000,9,2716,1999,-0.116936594
Carbon,2803 HS92,$257k,$1.10B,0.0156,Chemicals,0.257,1100,1.1,2803,1999,-0.042878788
Silicon & rare gases,2804 HS92,$2.30M,$2.44B,0.0617,Chemicals,2.3,2440,2.44,2804,1999,-0.20613752
"Sulfiric acid, oleum",2807 HS92,$4.90M,$313M,1.05,Chemicals,4.9,313,0.313,2807,1999,-0.5675353
Phosphoric acid etc.,2809 HS92,$4.44M,$1.88B,0.161,Chemicals,4.44,1880,1.88,2809,1999,-0.4880819
Other inorganic acids,2811 HS92,$7.97M,$1.56B,0.345,Chemicals,7.97,1560,1.56,2811,1999,0.60108286
Ammonia,2814 HS92,$11.2M,$1.57B,0.469,Chemicals,11.2,1570,1.57,2814,1999,-0.86244667
Sodium hydroxide,2815 HS92,$7.19M,$1.74B,0.294,Chemicals,7.19,1740,1.74,2815,1999,-0.09074252
Aluminum oxide,2818 HS92,$2.78M,$6.83B,0.028,Chemicals,2.78,6830,6.83,2818,1999,-0.624274
Iron oxides and hydroxides,2821 HS92,$1.76M,$761M,0.156,Chemicals,1.76,761,0.761,2821,1999,1.1034628
Cobalt oxides and hydroxides,2822 HS92,$62.7k,$292M,0.0141,Chemicals,0.0627,292,0.292,2822,1999,1.5487623
"Metal base oxides, n.e.c.",2825 HS92,$11.9M,$1.17B,0.677,Chemicals,11.9,1170,1.17,2825,1999,0.33959994
Flourides,2826 HS92,$598k,$511M,0.0769,Chemicals,0.598,511,0.511,2826,1999,0.26796743
"Chlorides, bromides, iodides etc.",2827 HS92,$7.21M,$893M,0.534,Chemicals,7.21,893,0.893,2827,1999,0.54164106
Sulfates,2833 HS92,$2.21M,$1.04B,0.144,Chemicals,2.21,1040,1.04,2833,1999,-0.33419573
"Nitrites, nitrates",2834 HS92,$177k,$436M,0.0273,Chemicals,0.177,436,0.436,2834,1999,0.13507764
Phosphates,2835 HS92,$6.78M,$1.54B,0.293,Chemicals,6.78,1540,1.54,2835,1999,0.41749322
Carbonates,2836 HS92,$1.63M,$2.39B,0.0452,Chemicals,1.63,2390,2.39,2836,1999,0.46361297
Salts of oxometallic acids,2841 HS92,$1.28M,$460M,0.185,Chemicals,1.28,460,0.46,2841,1999,0.61151206
Compounds of precious metals,2843 HS92,$161M,$1.85B,5.79,Chemicals,161,1850,1.85,2843,1999,1.1546018
Uranium,2844 HS92,$4.01M,$5.34B,0.0497,Chemicals,4.01,5340,5.34,2844,1999,0.31105214
Carbides,2849 HS92,$5.15M,$825M,0.424,Chemicals,5.15,825,0.825,2849,1999,0.21814874
Acyclic hydrocarbons,2901 HS92,$1.86M,$4.67B,0.0261,Chemicals,1.86,4670,4.67,2901,1999,-0.29114455
Cyclic hydrocarbons,2902 HS92,$9.38M,$8.40B,0.0732,Chemicals,9.38,8400,8.4,2902,1999,0.24499823
Halogenated derivatives of hydrocarbons,2903 HS92,$18.7M,$4.39B,0.282,Chemicals,18.7,4390,4.39,2903,1999,0.35686868
"Sulfonated, nitrated derivatives of hydrocarbons",2904 HS92,$16.2M,$575M,1.85,Chemicals,16.2,575,0.575,2904,1999,0.06054091
Acyclic alcohols,2905 HS92,$84.8M,$7.97B,0.704,Chemicals,84.8,7970,7.97,2905,1999,0.000341903
Cyclic alcohols,2906 HS92,$27.3M,$635M,2.85,Chemicals,27.3,635,0.635,2906,1999,1.0663965
"Phenols, phenol-alcohols",2907 HS92,$48.9M,$2.67B,1.23,Chemicals,48.9,2670,2.67,2907,1999,1.0454069
Ethers,2909 HS92,$32.3M,$3.94B,0.54,Chemicals,32.3,3940,3.94,2909,1999,0.39754337
Epoxides,2910 HS92,$19.3M,$1.54B,0.819,Chemicals,19.3,1540,1.54,2910,1999,1.5718923999999999
Aldehydes,2912 HS92,$75.8M,$1.06B,4.78,Chemicals,75.8,1060,1.06,2912,1999,1.3223045
